Municipio,Lema,Departamento,CantidadVotos_2024,CantidadVotos_2019,TotalVotos_2024,TotalVotos_2019,DifVotos,Habilitados,Share_2024,Share_2019,VariacionShare
Sauce,Partido VA/IS (G.Salle),Canelones,190,59,8659,8488,131,10147.0,0.021942487585171498,0.006950989632422243,0.014991497952749254
Soca,PERI,Canelones,10,34,2126,1966,-24,2489.0,0.004703668861712135,0.017293997965412006,-0.01259032910369987
Soca,Partido Asamblea Popular,Canelones,6,15,2126,1966,-9,2489.0,0.0028222013170272815,0.0076297049847405905,-0.004807503667713309
Soca,Partido Cabildo Abierto,Canelones,38,188,2126,1966,-150,2489.0,0.017873941674506115,0.09562563580874874,-0.07775169413424263
Soca,Partido Colorado,Canelones,458,292,2126,1966,166,2489.0,0.2154280338664158,0.14852492370295015,0.06690311016346565
Soca,Partido Frente Amplio,Canelones,836,557,2126,1966,279,2489.0,0.3932267168391345,0.28331637843336727,0.10991033840576725
Soca,Partido Independiente,Canelones,21,25,2126,1966,-4,2489.0,0.009877704609595485,0.01271617497456765,-0.0028384703649721663
Soca,Partido Nacional,Canelones,723,852,2126,1966,-129,2489.0,0.3400752587017874,0.4333672431332655,-0.09329198443147813
Soca,Partido VA/IS (G.Salle),Canelones,34,3,2126,1966,31,2489.0,0.01599247412982126,0.001525940996948118,0.014466533132873143
Solís De Mataojo,PERI,Lavalleja,12,38,2445,2462,-26,2796.0,0.0049079754601227,0.015434606011372868,-0.01052663055125017
Solís De Mataojo,Partido Asamblea Popular,Lavalleja,1,2,2445,2462,-1,2796.0,0.00040899795501022495,0.0008123476848090983,-0.0004033497297988733
Solís De Mataojo,Partido Cabildo Abierto,Lavalleja,40,217,2445,2462,-177,2796.0,0.016359918200409,0.08813972380178717,-0.07177980560137817
Solís De Mataojo,Partido Colorado,Lavalleja,527,462,2445,2462,65,2796.0,0.21554192229038854,0.1876523151909017,0.027889607099486846
Solís De Mataojo,Partido Frente Amplio,Lavalleja,871,622,2445,2462,249,2796.0,0.3562372188139059,0.25264012997562957,0.10359708883827634
Solís De Mataojo,Partido Independiente,Lavalleja,20,13,2445,2462,7,2796.0,0.0081799591002045,0.005280259951259139,0.0028996991489453608
Solís De Mataojo,Partido Nacional,Lavalleja,891,1090,2445,2462,-199,2796.0,0.36441717791411044,0.4427294882209586,-0.07831231030684815
Solís De Mataojo,Partido VA/IS (G.Salle),Lavalleja,83,18,2445,2462,65,2796.0,0.033946830265848674,0.007311129163281885,0.02663570110256679
Solís Grande,PERI,Maldonado,18,17,2573,2291,1,1475.0,0.006995724834823164,0.007420340462680052,-0.0004246156278568886
Solís Grande,Partido Asamblea Popular,Maldonado,8,11,2573,2291,-3,1475.0,0.003109211037699184,0.004801396769969445,-0.0016921857322702615
Solís Grande,Partido Cabildo Abierto,Maldonado,39,154,2573,2291,-115,1475.0,0.015157403808783521,0.06721955477957224,-0.05206215097078872
Solís Grande,Partido Colorado,Maldonado,321,183,2619,2347,138,1001.6666666666666,0.12256586483390607,0.07797187899446101,0.04459398583944506
Solís Grande,Partido Frente Amplio,Maldonado,897,624,2619,2347,273,1001.6666666666666,0.3424971363115693,0.2658713250958671,0.07662581121570222
Solís Grande,Partido Independiente,Maldonado,34,24,2619,2347,10,1001.6666666666666,0.012982054219167621,0.010225820195994887,0.0027562340231727343
Solís Grande,Partido Nacional,Maldonado,1224,1312,2619,2347,-88,1001.6666666666666,0.46735395189003437,0.5590115040477205,-0.09165755215768612
Solís Grande,Partido VA/IS (G.Salle),Maldonado,78,22,2573,2291,56,1475.0,0.030314807617567042,0.00960279353993889,0.02071201407762815
Suárez,PERI,Canelones,48,132,10636,9538,-84,6329.0,0.0045129748025573525,0.013839379324806039,-0.009326404522248685
Suárez,Partido Asamblea Popular,Canelones,46,88,10636,9538,-42,6329.0,0.004324934185784129,0.009226252883204026,-0.004901318697419897
Suárez,Partido Cabildo Abierto,Canelones,339,1315,10636,9538,-976,6329.0,0.0318728845430613,0.137869574334242,-0.10599668979118068
