Municipio,Lema,Departamento,CantidadVotos_2024,CantidadVotos_2019,TotalVotos_2024,TotalVotos_2019,DifVotos,Habilitados,Share_2024,Share_2019,VariacionShare
Colonia Nicolich,Partido Independiente,Canelones,50,51,7917,6530,-1,9345.0,0.0063155235569028675,0.00781010719754977,-0.0014945836406469026
Colonia Nicolich,Partido Nacional,Canelones,1403,1505,7917,6530,-102,9345.0,0.17721359100669445,0.2304747320061256,-0.053261140999431134
Colonia Nicolich,Partido VA/IS (G.Salle),Canelones,253,56,7917,6530,197,9345.0,0.03195654919792851,0.008575803981623277,0.023380745216305232
Colonia Valdense,PERI,Colonia,20,42,3304,3076,-22,3832.0,0.006053268765133172,0.013654096228868661,-0.007600827463735489
Colonia Valdense,Partido Asamblea Popular,Colonia,8,26,3304,3076,-18,3832.0,0.002421307506053269,0.008452535760728219,-0.00603122825467495
Colonia Valdense,Partido Cabildo Abierto,Colonia,67,264,3304,3076,-197,3832.0,0.020278450363196126,0.0858257477243173,-0.06554729736112117
Colonia Valdense,Partido Colorado,Colonia,944,892,3304,3076,52,3832.0,0.2857142857142857,0.28998699609882966,-0.004272710384543965
Colonia Valdense,Partido Frente Amplio,Colonia,967,828,3304,3076,139,3832.0,0.29267554479418884,0.26918075422626786,0.023494790567920976
Colonia Valdense,Partido Independiente,Colonia,55,26,3304,3076,29,3832.0,0.016646489104116223,0.008452535760728219,0.008193953343388004
Colonia Valdense,Partido Nacional,Colonia,1175,977,3304,3076,198,3832.0,0.35562953995157387,0.31762028608582576,0.038009253865748105
Colonia Valdense,Partido VA/IS (G.Salle),Colonia,68,21,3304,3076,47,3832.0,0.020581113801452784,0.0068270481144343306,0.013754065687018454
Dolores,PERI,Soriano,153,205,14618,14987,-52,8758.0,0.010466548091394171,0.013678521385200508,-0.003211973293806337
Dolores,Partido Asamblea Popular,Soriano,38,55,14618,14987,-17,8758.0,0.002599534820084827,0.003669847200907453,-0.001070312380822626
Dolores,Partido Cabildo Abierto,Soriano,184,1797,14618,14987,-1613,8758.0,0.012587221234094951,0.11990391672783078,-0.10731669549373583
Dolores,Partido Colorado,Soriano,2381,2840,14618,14987,-459,8758.0,0.16288137912163086,0.1894975645559485,-0.026616185434317624
Dolores,Partido Frente Amplio,Soriano,5827,5430,14618,14987,397,8758.0,0.39861814201669177,0.3623140054714086,0.036304136545283194
Dolores,Partido Independiente,Soriano,109,95,14375,14735,14,17228.0,0.007582608695652174,0.006447234475738039,0.0011353742199141353
Dolores,Partido Nacional,Soriano,5606,4498,14618,14987,1108,8758.0,0.3834997947735668,0.30012677653966774,0.08337301823389909
Dolores,Partido VA/IS (G.Salle),Soriano,320,67,14618,14987,253,8758.0,0.021890819537556436,0.004470541135650897,0.017420278401905537
Durazno,PERI,Durazno,74,203,27783,28162,-129,8138.0,0.002663499262138718,0.00720829486542149,-0.004544795603282772
Durazno,Partido Asamblea Popular,Durazno,80,201,27783,28162,-121,8138.0,0.002879458661771587,0.007137277182018322,-0.0042578185202467355
Durazno,Partido Cabildo Abierto,Durazno,773,5351,27783,28162,-4578,8138.0,0.02782276931936796,0.19000781194517435,-0.1621850426258064
Durazno,Partido Colorado,Durazno,6251,3615,27783,28162,2636,8138.0,0.22499370118417739,0.12836446275122507,0.09662923843295232
Durazno,Partido Frente Amplio,Durazno,11371,9638,27783,28162,1733,8138.0,0.40927905553755894,0.34223421631986367,0.06704483921769527
Durazno,Partido Independiente,Durazno,288,214,27783,28162,74,8138.0,0.010366051182377713,0.00759889212413891,0.0027671590582388026
Durazno,Partido Nacional,Durazno,8303,8846,27783,28162,-543,8138.0,0.2988518158586186,0.31411121369220935,-0.01525939783359076
Durazno,Partido VA/IS (G.Salle),Durazno,643,94,27783,28162,549,8138.0,0.02314364899398913,0.003337831119948867,0.019805817874040264
Echeverry,PERI,Tacuarembó,9,37,5636,5473,-28,6667.0,0.001596877217885025,0.006760460442170656,-0.005163583224285631
Echeverry,Partido Asamblea Popular,Tacuarembó,8,22,5636,5473,-14,6667.0,0.0014194464158978,0.004019733235885255,-0.002600286819987455
Echeverry,Partido Cabildo Abierto,Tacuarembó,189,1106,5636,5473,-917,6667.0,0.03353442157558552,0.2020829526767769,-0.1685485311011914
Echeverry,Partido Colorado,Tacuarembó,1477,779,5636,5473,698,6667.0,0.2620652945351313,0.14233509957975515,0.11973019495537612
Echeverry,Partido Frente Amplio,Tacuarembó,2327,1653,5636,5473,674,6667.0,0.4128814762242725,0.30202813813265117,0.11085333809162135
Echeverry,Partido Independiente,Tacuarembó,48,46,5636,5473,2,6667.0,0.008516678495386799,0.008404896765941897,0.00011178172944490208
Echeverry,Partido Nacional,Tacuarembó,1456,1809,5636,5473,-353,6667.0,0.25833924769339955,0.3305317010780194,-0.07219245338461983
Echeverry,Partido VA/IS (G.Salle),Tacuarembó,122,21,5636,5473,101,6667.0,0.021646557842441447,0.0038370180887995617,0.017809539753641884
Ecilda Paullier,PERI,San José,19,32,3776,3885,-13,1443.3333333333333,0.005031779661016949,0.008236808236808236,-0.0032050285757912874
Ecilda Paullier,Partido Asamblea Popular,San José,7,13,2933,2920,-6,3322.0,0.002386634844868735,0.004452054794520548,-0.0020654199496518127
Ecilda Paullier,Partido Cabildo Abierto,San José,42,457,3776,3885,-415,1443.3333333333333,0.011122881355932203,0.11763191763191763,-0.10650903627598543
Ecilda Paullier,Partido Colorado,San José,989,639,3776,3885,350,1443.3333333333333,0.2619173728813559,0.16447876447876447,0.09743860840259144
Ecilda Paullier,Partido Frente Amplio,San José,829,775,3776,3885,54,1443.3333333333333,0.21954449152542374,0.1994851994851995,0.020059292040224247
Ecilda Paullier,Partido Independiente,San José,33,28,3776,3885,5,1443.3333333333333,0.008739406779661016,0.007207207207207207,0.001532199572453809
Ecilda Paullier,Partido Nacional,San José,1812,1929,3776,3885,-117,1443.3333333333333,0.4798728813559322,0.4965250965250965,-0.01665221516916432
Ecilda Paullier,Partido VA/IS (G.Salle),San José,45,12,2933,2920,33,3322.0,0.015342652574156155,0.00410958904109589,0.011233063533060264
El General,PERI,Colonia,4,23,2802,1890,-19,3349.0,0.0014275517487508922,0.01216931216931217,-0.010741760420561278
El General,Partido Asamblea Popular,Colonia,6,6,2802,1890,0,3349.0,0.0021413276231263384,0.0031746031746031746,-0.0010332755514768362
El General,Partido Cabildo Abierto,Colonia,119,333,2802,1890,-214,3349.0,0.04246966452533904,0.1761904761904762,-0.13372081166513716
El General,Partido Colorado,Colonia,409,174,2802,1890,235,3349.0,0.14596716630977874,0.09206349206349207,0.05390367424628667
El General,Partido Frente Amplio,Colonia,1234,800,2802,1890,434,3349.0,0.44039971448965026,0.42328042328042326,0.017119291209227006
El General,Partido Independiente,Colonia,15,22,2802,1890,-7,3349.0,0.0053533190578158455,0.01164021164021164,-0.0062868925823957944
El General,Partido Nacional,Colonia,947,523,2802,1890,424,3349.0,0.3379728765167737,0.2767195767195767,0.061253299797197014
El General,Partido VA/IS (G.Salle),Colonia,68,9,2802,1890,59,3349.0,0.02426837972876517,0.004761904761904762,0.019506474966860407
Empalme Olmos,PERI,Canelones,21,89,5163,5123,-68,6231.0,0.004067402672864613,0.017372633222721062,-0.01330523054985645
Empalme Olmos,Partido Asamblea Popular,Canelones,9,35,5163,5123,-26,6231.0,0.0017431725740848344,0.006831934413429631,-0.005088761839344797
Empalme Olmos,Partido Cabildo Abierto,Canelones,143,624,5163,5123,-481,6231.0,0.027697075343792368,0.12180363068514542,-0.09410655534135305
Empalme Olmos,Partido Colorado,Canelones,902,561,5163,5123,341,6231.0,0.1747046290916134,0.10950614874097209,0.06519848035064132
Empalme Olmos,Partido Frente Amplio,Canelones,2285,1897,5163,5123,388,6231.0,0.44257214797598293,0.370290845207886,0.07228130276809691
Empalme Olmos,Partido Independiente,Canelones,48,64,5163,5123,-16,6231.0,0.009296920395119116,0.012492680070271326,-0.0031957596751522096
Empalme Olmos,Partido Nacional,Canelones,1596,1816,5163,5123,-220,6231.0,0.3091226031377106,0.3544797969939489,-0.045357193856238265
Empalme Olmos,Partido VA/IS (G.Salle),Canelones,159,37,5163,5123,122,6231.0,0.030796048808832074,0.00722233066562561,0.023573718143206464
Florencio Sánchez,PERI,Colonia,3,16,1720,1788,-13,2064.0,0.0017441860465116279,0.008948545861297539,-0.007204359814785911
Florencio Sánchez,Partido Asamblea Popular,Colonia,1,2,1720,1788,-1,2064.0,0.0005813953488372093,0.0011185682326621924,-0.0005371728838249831
Florencio Sánchez,Partido Cabildo Abierto,Colonia,13,135,1720,1788,-122,2064.0,0.007558139534883721,0.07550335570469799,-0.06794521616981426
Florencio Sánchez,Partido Colorado,Colonia,272,220,1720,1788,52,2064.0,0.15813953488372093,0.12304250559284116,0.035097029290879767
Florencio Sánchez,Partido Frente Amplio,Colonia,661,550,1720,1788,111,2064.0,0.3843023255813954,0.3076062639821029,0.07669606159929249
Florencio Sánchez,Partido Independiente,Colonia,9,9,1720,1788,0,2064.0,0.005232558139534884,0.0050335570469798654,0.0001990010925550182
Florencio Sánchez,Partido Nacional,Colonia,741,853,1720,1788,-112,2064.0,0.4308139534883721,0.47706935123042504,-0.04625539774205295
Florencio Sánchez,Partido VA/IS (G.Salle),Colonia,20,3,1720,1788,17,2064.0,0.011627906976744186,0.0016778523489932886,0.009950054627750898
Florida,PERI,Florida,106,165,26347,26542,-59,31240.0,0.004023228451057046,0.006216562429357245,-0.002193333978300199
Florida,Partido Asamblea Popular,Florida,71,161,26347,26542,-90,31240.0,0.0026948039625004742,0.006065857885615251,-0.003371053923114777
Florida,Partido Cabildo Abierto,Florida,476,3287,26347,26542,-2811,31240.0,0.01806657304436938,0.12384145881998342,-0.10577488577561403
Florida,Partido Colorado,Florida,4696,3863,26347,26542,833,31240.0,0.17823661137890462,0.14554291311883052,0.032693698260074094
Florida,Partido Frente Amplio,Florida,12172,10559,26347,26542,1613,31240.0,0.46198808213458836,0.39782231934292817,0.0641657627916602
Florida,Partido Independiente,Florida,408,208,26347,26542,200,31240.0,0.015485634038030896,0.007836636274583678,0.007648997763447218
Florida,Partido Nacional,Florida,7694,7928,26347,26542,-234,31240.0,0.29202565757012183,0.29869640569663175,-0.006670748126509918
Florida,Partido VA/IS (G.Salle),Florida,724,371,26347,26542,353,31240.0,0.027479409420427373,0.013977846432069927,0.013501562988357446
Fraile Muerto,PERI,Cerro Largo,5,19,2592,2724,-14,3028.0,0.0019290123456790122,0.0069750367107195305,-0.005046024365040518
Fraile Muerto,Partido Asamblea Popular,Cerro Largo,1,8,2592,2724,-7,3028.0,0.00038580246913580245,0.002936857562408223,-0.0025510550932724206
Fraile Muerto,Partido Cabildo Abierto,Cerro Largo,26,335,2592,2724,-309,3028.0,0.010030864197530864,0.12298091042584434,-0.11295004622831348
Fraile Muerto,Partido Colorado,Cerro Largo,284,227,2592,2724,57,3028.0,0.1095679012345679,0.08333333333333333,0.026234567901234573
Fraile Muerto,Partido Frente Amplio,Cerro Largo,831,925,2592,2724,-94,3028.0,0.32060185185185186,0.3395741556534508,-0.018972303801598922
Fraile Muerto,Partido Independiente,Cerro Largo,21,9,2592,2724,12,3028.0,0.008101851851851851,0.003303964757709251,0.004797887094142601
Fraile Muerto,Partido Nacional,Cerro Largo,1377,1193,2592,2724,184,3028.0,0.53125,0.4379588839941263,0.0932911160058737
Fraile Muerto,Partido VA/IS (G.Salle),Cerro Largo,47,8,2592,2724,39,3028.0,0.018132716049382717,0.002936857562408223,0.015195858486974493
Fray Bentos,PERI,Río Negro,28,196,17810,18501,-168,21441.0,0.0015721504772599664,0.010594021944759743,-0.009021871467499776
Fray Bentos,Partido Asamblea Popular,Río Negro,45,116,19945,19987,-71,11989.5,0.002256204562547004,0.005803772452093861,-0.003547567889546857
Fray Bentos,Partido Cabildo Abierto,Río Negro,734,2713,19945,19987,-1979,11989.5,0.03680120330910003,0.13573822984940212,-0.09893702654030209
