Año,Delito,id_barrio,Barrio,Total delitos,Ratio
2013,LESIONES,38,LA TEJA,53,284.25851434700996
2013,LESIONES,46,LARRAÑAGA,33,175.0756008276301
2013,LESIONES,28,LAS ACACIAS,82,416.34932724041636
2013,LESIONES,19,LAS CANTERAS,45,206.0250892775387
2013,LESIONES,60,"LEZICA, MELILLA",56,324.82598607888633
2013,LESIONES,11,MALVIN,16,54.017555705604316
2013,LESIONES,12,MALVIN NORTE,43,247.72439221108422
2013,LESIONES,62,MANGA,81,415.89648798521256
2013,LESIONES,32,"MANGA, TOLEDO CHICO",143,525.0018356707541
2013,LESIONES,17,"MAROÑAS, PARQUE GUARANI",71,341.7404697728148
2013,LESIONES,25,"MERCADO MODELO, BOLIVAR",56,357.6674969662132
2013,LESIONES,55,NUEVO PARIS,102,340.6131035864556
2013,LESIONES,5,PALERMO,27,210.2312543798178
2013,LESIONES,6,PARQUE RODO,17,130.32812020852498
2013,LESIONES,57,PASO DE LA ARENA,85,320.0301204819277
2013,LESIONES,33,PASO DE LAS DURANAS,34,278.87139107611546
2013,LESIONES,34,"PEÑAROL, LAVALLEJA",102,315.4769268835828
2013,LESIONES,31,PIEDRAS BLANCAS,112,531.6119232959938
2013,LESIONES,8,POCITOS,49,69.62501953763304
2013,LESIONES,10,"PQUE. BATLLE, V. DOLORES",70,233.20895522388057
2013,LESIONES,39,"PRADO, NUEVA SAVONA",92,472.3520049288905
2013,LESIONES,20,"PTA. RIELES, BELLA ITALIA",96,399.50062421972535
2013,LESIONES,7,PUNTA CARRETAS,39,155.33516549169553
2013,LESIONES,13,PUNTA GORDA,24,173.33525928065868
2013,LESIONES,42,REDUCTO,30,222.93230289068887
2013,LESIONES,52,SAYAGO,38,271.25419373260047
2013,LESIONES,50,TRES CRUCES,75,441.85224460940265
2013,LESIONES,56,"TRES OMBUES, VICTORIA",96,532.5936199722607
2013,LESIONES,23,UNION,131,343.13853891086256
2013,LESIONES,24,VILLA ESPAÑOLA,76,358.9307641447058
2013,LESIONES,61,"VILLA GARCIA, MANGA RURAL",143,450.54979677998676
2013,LESIONES,48,"VILLA MUÑOZ, RETIRO",29,217.45650869826036
2013,RAPIÑA,41,AGUADA,151,778.8322673818857
2013,RAPIÑA,29,AIRES PUROS,111,743.6687659118318
2013,RAPIÑA,43,ATAHUALPA,100,1248.5953302534647
2013,RAPIÑA,3,BARRIO SUR,76,534.8346235045743
2013,RAPIÑA,16,BAÑADOS DE CARRASCO,145,1022.5669957686882
2013,RAPIÑA,54,BELVEDERE,272,1327.4768179599805
2013,RAPIÑA,51,BRAZO ORIENTAL,198,1207.9062957540264
2013,RAPIÑA,9,BUCEO,356,962.4743159943766
2013,RAPIÑA,40,"CAPURRO, BELLA VISTA",149,895.6479923058428
2013,RAPIÑA,14,CARRASCO,203,1347.5836431226767
2013,RAPIÑA,15,CARRASCO NORTE,246,1855.3435402368202
2013,RAPIÑA,36,"CASABO, PAJAS BLANCAS",231,773.7915787358054
2013,RAPIÑA,30,CASAVALLE,361,1187.5
2013,RAPIÑA,26,"CASTRO, P. CASTELLANOS",128,948.9916963226573
2013,RAPIÑA,2,CENTRO,339,1426.5275206194244
2013,RAPIÑA,27,CERRITO,225,1405.635034672331
2013,RAPIÑA,35,CERRO,645,2369.4941405532495
2013,RAPIÑA,1,CIUDAD VIEJA,201,1451.4731369150782
2013,RAPIÑA,59,COLON CENTRO Y NOROESTE,364,1330.9444586639365
2013,RAPIÑA,58,"COLON SURESTE, ABAYUBA",111,759.3378027089889
2013,RAPIÑA,53,CONCILIACION,232,1167.6480950223968
2013,RAPIÑA,4,CORDON,479,1064.8230481949138
2013,RAPIÑA,18,FLOR DE MAROÑAS,237,1379.2702089274283
2013,RAPIÑA,22,ITUZAINGO,197,1544.4923559388476
2013,RAPIÑA,44,JACINTO VERA,88,1053.2615200478756
